query_idx,dominant_cluster,gt_count_in_cluster
7480,695,7
7482,298,6
7484,66,7
7488,357,10
7490,555,9
7491,636,9
7492,791,9
7493,770,9
7495,73,7
7497,212,8
7498,770,9
7499,422,10
7500,683,7
7501,426,7
7502,823,7
7504,195,8
7506,509,6
7510,899,8
7511,419,6
7513,244,10
7514,950,6
7517,504,6
7519,498,10
7523,357,7
7524,600,7
7526,265,10
7527,422,7
7528,626,8
7531,195,8
7532,930,10
7535,694,10
7536,232,6
7537,432,10
7538,940,9
7541,884,6
7544,12,6
7545,217,6
7546,120,9
7553,1013,8
7554,589,6
7555,244,10
7556,9,6
7558,599,6
7562,71,9
7564,244,8
7566,607,9
7569,19,7
7571,498,7
7573,287,8
7577,419,6
7581,919,10
7582,904,8
7583,541,6
7585,28,6
7587,77,9
7589,505,7
7590,658,10
7591,357,6
7593,555,8
7594,1013,7
7597,680,9
7599,356,6
7601,466,6
7602,191,7
7606,342,10
7607,275,9
7608,135,9
7613,200,9
7615,790,6
7617,973,10
7620,454,6
7621,244,6
7622,884,6
7623,514,10
7625,226,7
7626,467,8
7627,51,6
7628,112,6
7629,711,9
7633,419,10
7635,773,6
7636,436,7
7641,789,9
7642,51,10
7643,214,10
7651,714,8
7653,613,6
7655,855,10
7660,177,9
7661,846,9
7662,490,8
7663,97,8
7665,333,9
7666,69,6
7669,981,7
7670,498,10
7671,0,6
7672,512,9
7673,498,7
7676,866,8
7679,678,10
7682,770,8
7685,1015,6
7687,815,9
7688,914,7
7689,505,8
7691,347,10
7693,431,8
7694,922,9
7695,802,9
7698,398,6
7699,471,6
7700,33,10
7701,899,9
7704,396,9
7705,788,7
7706,927,8
7710,418,7
7711,409,6
7712,899,6
7714,946,10
7715,815,10
7718,3,9
7721,749,8
7722,324,6
7729,135,10
7730,398,8
7732,373,10
7735,714,7
7736,720,8
7737,366,10
7744,98,7
7746,498,8
7747,237,6
7753,720,8
7760,816,6
7764,811,10
7767,610,6
7774,243,10
7775,744,7
7776,324,8
7779,807,10
7780,213,7
7784,718,7
7788,419,6
7791,537,8
7793,874,6
7795,107,8
7796,981,6
7799,621,6
7804,525,7
7805,918,6
7806,918,7
7811,814,6
7813,884,10
7814,706,7
7816,734,6
7819,24,6
7822,697,8
7825,636,10
7829,970,6
7831,935,7
7834,235,10
7835,410,6
7839,24,9
7841,47,8
7843,626,10
7844,930,8
7845,887,7
7856,313,6
7860,946,8
7868,294,7
7870,740,8
7872,689,7
7878,541,10
7879,398,7
7880,108,6
7881,422,10
7882,807,9
7884,51,6
7885,533,10
7889,440,6
7899,288,6
7903,802,9
7912,599,6
7913,715,7
7918,243,7
7932,438,6
7946,794,8
7947,647,9
7950,743,8
7959,842,7
7963,87,7
7967,992,7
7968,734,7
7970,563,7
7972,882,6
7973,755,7
7978,809,7
7980,503,8
7981,802,10
7984,930,9
7988,268,6
7989,69,7
7993,584,10
7997,17,7
7998,760,7
8015,73,8
8017,515,6
8018,413,10
8020,392,7
8023,505,10
8026,88,7
8031,721,10
8035,144,6
8037,767,7
8038,1014,8
8039,129,8
8043,540,10
8045,413,9
8047,874,10
8049,210,9
8050,647,10
8052,40,10
8054,114,7
8062,689,10
8063,292,6
8064,213,9
8067,127,6
8068,226,8
8071,715,8
8075,571,10
8089,647,8
8091,470,7
8092,354,6
8097,99,6
8098,644,6
8099,209,7
8100,422,6
8105,613,6
8106,253,9
8112,924,7
8113,437,7
8117,930,9
8118,635,7
8120,689,9
8121,572,6
8123,333,6
8125,357,10
8127,852,8
8129,992,7
8130,324,9
8133,231,6
8134,930,7
8136,449,8
8140,665,9
8144,541,10
8146,555,7
8153,410,6
8154,16,6
8155,34,6
8157,665,10
8160,98,6
8161,940,6
8171,930,6
8173,211,6
8177,528,6
8182,914,6
8184,422,10
8186,197,6
8187,265,10
8189,314,7
8191,422,10
8192,555,10
8194,658,9
8195,422,10
8196,409,9
8197,357,8
8198,992,10
8199,265,10
8200,721,8
8201,823,6
8203,636,6
8204,734,7
8205,265,9
8206,940,10
8208,208,9
8209,815,8
8211,636,10
8212,720,10
8217,24,10
8219,823,7
8222,599,10
8223,583,10
8228,738,6
8230,846,9
8232,149,6
8240,769,6
8241,970,6
8243,580,6
8246,420,6
8249,712,10
8251,884,9
8256,186,8
8258,279,6
8260,132,6
8267,443,10
8273,498,8
8274,524,6
8278,970,10
8280,829,7
8282,644,9
8286,610,9
8292,456,7
8293,858,7
8295,66,8
8296,357,10
8297,219,7
8298,991,6
8299,439,7
8301,149,9
8302,919,10
8305,357,10
8307,884,10
8309,630,8
8313,171,6
8314,610,7
8316,177,6
8318,658,10
8321,237,6
8322,147,7
8324,801,10
8325,904,6
8327,325,7
8328,884,10
8330,624,7
8331,786,7
8332,467,6
8335,198,7
8339,184,8
8341,695,9
8343,333,7
8345,357,10
8347,147,6
8349,697,7
8351,788,6
8353,771,8
8361,773,8
8365,164,6
8366,383,6
8369,182,7
8373,695,6
8374,27,8
8376,644,7
8381,514,6
8382,882,6
8383,912,8
8384,259,7
8389,766,7
8390,828,6
8391,647,7
8393,665,8
8394,25,6
8395,244,6
8396,600,7
8398,600,6
8401,723,6
8404,422,10
8407,422,10
8411,555,10
8419,692,7
8421,940,10
8423,147,8
8424,285,8
8428,422,9
8430,357,8
8431,543,6
8432,946,6
8433,375,8
8436,527,7
8437,838,6
8441,778,7
8448,213,7
8449,525,6
8450,736,10
8452,767,8
8458,805,9
8459,743,8
8461,846,6
8462,1021,10
8465,333,6
8469,158,7
8470,520,8
8483,709,7
8491,484,6
8494,365,6
8495,73,7
8498,333,9
8501,336,7
8505,232,6
8507,296,8
8517,569,6
8523,560,6
8525,340,6
8529,892,6
8536,761,7
8539,38,8
8547,471,6
8548,321,8
8552,395,7
8553,846,7
8555,919,7
8556,851,6
8561,914,9
8563,653,6
8573,821,8
8578,480,6
8579,940,8
8582,345,9
8583,213,6
8586,919,10
8587,1021,7
8588,846,6
8589,385,8
8593,311,8
8594,99,8
8596,546,6
8597,57,9
8598,510,9
8599,793,6
8600,357,6
8602,555,7
8606,884,6
8611,884,6
8614,256,10
8615,498,10
8616,277,6
8625,487,8
8626,44,6
8634,884,10
8636,188,7
8641,466,7
8642,613,7
8643,743,6
8646,422,9
8648,846,8
8649,243,10
8653,396,7
8655,287,7
8658,298,8
8661,547,6
8662,690,7
8670,333,7
8680,509,6
8681,311,7
8682,846,8
8683,869,7
8684,205,6
8685,382,8
8687,333,6
8688,333,8
8693,64,6
8695,263,6
8698,689,6
8699,158,6
8701,256,10
8708,212,7
8709,1021,7
8711,212,8
8715,212,10
8720,541,7
8722,647,9
8723,212,6
8724,884,6
8731,930,8
8737,555,7
8739,826,7
8740,973,8
8742,347,9
8743,47,6
8749,314,9
8751,177,10
8752,34,6
8754,647,7
8759,158,7
8760,485,7
8766,90,6
8768,333,6
8769,729,7
8773,197,10
8778,583,9
8779,419,10
8780,419,6
8783,583,7
8787,521,7
8792,788,8
8798,470,6
8801,773,9
8802,599,7
8803,155,7
8812,365,7
8815,211,10
8818,926,7
8820,436,6
8824,212,9
8825,846,6
8827,255,6
8831,801,8
8834,635,6
8835,658,10
8836,333,8
8838,101,6
8839,472,7
8840,97,8
8841,212,9
8843,583,10
8846,525,10
8848,505,6
8856,543,10
8866,582,7
8868,8,7
8869,977,6
8871,869,6
8874,677,7
8875,555,6
8876,573,6
8878,584,6
8879,846,10
8881,205,6
8885,769,7
8888,212,9
8891,64,8
8895,802,8
8896,726,8
8900,211,8
8904,19,7
8908,536,7
8912,333,8
8913,357,6
8915,514,6
8917,842,6
8918,555,7
8923,946,6
8928,75,7
8933,883,9
8934,884,8
8935,177,8
8937,555,8
8941,994,7
8942,152,7
8947,962,6
8948,235,6
8954,28,7
8956,158,7
8957,1021,9
8963,365,9
8964,625,7
8965,514,7
8971,930,8
8974,357,9
8975,1000,10
8977,431,6
8980,866,8
8981,1013,9
8991,144,7
8993,728,8
8995,540,7
8996,414,7
8997,211,8
8998,647,7
9002,211,10
9003,177,6
9005,826,6
9006,540,7
9018,244,10
9023,333,8
9029,69,9
9037,802,8
9041,415,6
9046,1015,7
9048,647,6
9050,727,6
9051,1013,10
9055,767,8
9057,566,8
9060,347,7
9061,212,8
9063,761,7
9064,868,6
9070,253,6
9074,652,8
9076,731,8
9077,90,6
9080,88,6
9081,919,7
9085,815,6
9087,963,6
9088,971,6
9101,226,8
9102,520,9
9112,666,6
9114,936,6
9115,540,7
9116,514,8
9117,540,7
9120,73,9
9136,808,8
9140,844,8
9141,441,7
9142,771,7
9143,221,6
9145,703,8
9147,113,7
9151,694,8
9152,802,10
9154,299,7
9162,594,7
9163,837,7
9164,548,8
9166,725,6
9173,246,8
9175,908,6
9183,706,6
9184,732,6
9185,1010,7
9186,767,10
9187,540,9
9189,85,6
9192,112,6
9195,212,6
9196,952,6
9203,481,7
9206,129,7
9214,452,6
9220,160,6
9221,231,7
9228,413,7
9229,34,6
9230,520,9
9231,537,6
9234,34,7
9235,791,9
9239,333,6
9240,979,7
9241,870,6
9243,462,6
9245,1014,10
9256,413,6
9259,265,7
9263,237,6
9273,747,6
9274,647,7
9275,313,10
9277,166,6
9281,357,10
9283,459,8
9284,706,8
9288,902,7
9295,791,7
9296,851,7
9301,87,7
9315,296,6
9329,212,10
9332,767,7
9339,614,6
9348,211,6
9353,324,7
9356,846,9
9357,357,10
9358,743,6
9364,836,8
9365,630,8
9366,243,6
9369,610,7
9374,834,6
9380,156,6
9383,25,7
9384,485,9
9386,158,6
9388,158,8
9398,720,7
9399,246,6
9402,743,8
9403,855,10
9404,645,6
9410,35,8
9427,512,7
9429,889,7
9434,878,6
9443,580,9
9449,485,7
9458,140,6
9460,754,9
9479,313,7
9483,794,6
9494,802,6
9495,944,7
9498,584,8
9509,788,6
9515,688,6
9520,67,8
9521,734,7
9522,707,7
9526,112,10
9533,182,7
9534,644,6
9540,344,6
9546,644,6
9549,612,9
9550,603,7
9552,423,8
9564,944,6
9567,305,8
9571,456,6
9572,942,7
9578,420,7
9590,767,6
9593,931,9
9596,352,7
9599,52,6
9601,874,10
9602,285,10
9604,660,6
9607,958,6
9611,792,6
9612,275,10
9614,447,6
9615,213,7
9620,391,6
9627,250,6
9628,555,7
9629,63,6
9635,212,8
9639,487,6
9640,630,8
9642,212,8
9653,268,6
9655,787,7
9656,935,6
9657,607,8
9662,144,7
9663,12,10
9666,918,6
9667,197,7
9673,314,7
9677,175,6
9678,356,10
9679,957,9
9688,112,6
9689,222,7
9693,552,8
9695,356,10
9698,734,7
9700,294,10
9704,694,7
9707,404,6
9708,722,7
9712,184,6
9714,345,9
9728,794,6
9732,895,7
9733,580,6
9739,584,9
9748,294,8
9749,846,9
9758,422,7
9759,228,7
9760,313,6
9764,456,6
9766,40,8
9772,734,9
9775,66,7
9781,278,6
9785,614,6
9791,773,7
9796,397,6
9799,514,8
9800,158,6
9809,801,6
9811,587,6
9815,765,6
9816,132,6
9819,10,8
9821,822,6
9827,398,8
9829,943,6
9830,112,10
9833,188,7
9836,1,6
9846,1015,6
9849,541,8
9852,540,9
9853,529,6
9856,908,8
9859,1008,6
9860,842,8
9861,428,8
9864,843,9
9871,356,6
9875,177,7
9878,356,9
9880,422,10
9881,112,8
9883,200,6
9884,144,7
9885,135,9
9887,211,6
9889,197,10
9890,398,10
9895,720,7
9897,626,10
9899,720,8
9900,583,10
9903,930,7
9910,435,7
9911,540,10
9916,112,8
9917,122,10
9918,1000,10
9919,767,8
9922,232,8
9923,626,10
9924,957,7
9925,441,8
9926,122,8
9928,734,10
9931,919,10
9932,509,7
9934,213,6
9935,422,10
9936,767,8
9938,815,6
9939,610,6
9940,487,6
9941,846,10
9942,533,7
9946,212,7
9947,487,6
9951,244,9
9952,40,8
9957,882,7
9972,540,9
9973,40,9
9974,253,7
9977,232,9
9981,210,6
9982,131,6
9983,630,8
9996,624,6
9999,922,6
